🍅YouTube港台新闻,#genre#
中天新聞,https://www.youtube.com/watch?v=oIgbl7t0S_w
中天新聞,https://www.youtube.com/@CtiTv/live
中天新聞,https://youtu.be/oIgbl7t0S_w
中天新聞2,https://www.youtube.com/watch?v=WPfPjbOLNfE
中天亞洲台,https://www.youtube.com/watch?v=PYtGQvNmadg
公視,https://www.youtube.com/watch?v=C6gYqSHLRw4
公視2,https://www.youtube.com/watch?v=quwqlazU-c8
公視台語台,https://www.youtube.com/watch?v=6KlRR_DGhmI
公視新聞,https://www.youtube.com/watch?v=quwqlazU-c8
CCTV国际,https://www.youtube.com/watch?v=9sE12tg3CmA
鳳凰衛視資訊台,https://m.youtube.com/@phoenixtvhk/live
TVBS NEWS,https://www.youtube.com/watch?v=m_dhMSvUCIc 
東森新聞台,https://www.youtube.com/watch?v=S5WOGu2HSes
東森財經新聞,https://www.youtube.com/watch?v=WHEPzbFA3hw
台視新聞,https://www.youtube.com/watch?v=xL0ch83RAK8
中視新聞,https://www.youtube.com/watch?v=TCnaIE_SAtM
華視新聞資訊台,https://www.youtube.com/watch?v=wM0g8EoUZ_E
台視,https://www.youtube.com/watch?v=uDqQo8a7Xmk
寰宇新聞,https://www.youtube.com/watch?v=6IquAgfvYmc
寰宇新聞台灣台,https://www.youtube.com/watch?v=UcTIv4ZaE5Y
寰宇新聞2,https://www.youtube.com/watch?v=V8ue1aoEOEQ
三立inews,https://www.youtube.com/watch?v=CKjSm5ZeehE
民視新聞台,https://www.youtube.com/watch?v=ylYJSBUgaMA
鏡新聞,https://www.youtube.com/watch?v=5n0y6b0Q25o
三立Live,https://www.youtube.com/c/三立LIVE新聞/live
三立iNews,https://www.youtube.com/c/setmoney159/live
华视综艺,https://www.youtube.com/c/TBSCTSSHOW/live
TVBS新闻,https://www.youtube.com/c/TVBSNEWS01/live
中視經典綜藝,https://www.youtube.com/watch?v=ADDSmXoPDY8
新唐人亞太,https://www.youtube.com/@NTDAPTV/live
正德電視台,https://www.youtube.com/@chengteTV/live
大愛,https://m.youtube.com/watch?v=oV_i3Hsl_zg
大愛二臺,https://www.youtube.com/@DaAiVideo/live
